Name,metabolite class,Time,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
Choline,Amino acid derivative,0.35,0.28125,8.38625,0.28125,0.476183931,104.173,90.061,104.1069905,44,0,0.101493486,-0.39051529,0.39051529,0.101493486,1.285714286,1.714285714,1.714285714,3.154490065,46.53206898,5.914213562,5.308640753,5.308640753,3.060660172,2.474096319,2.474096319,2.73753768,2.73753768,0.770820393,0.770820393,0.3,0.3,-0.08,18.14170945,6.92,2.284554637,5.92,44.96305839,9.589558253,6.544756406,0,0,0,0,0,0,0,0,0,0,0,27.74989791,9.589558253,0,0,0,0,0,34.29465432,0,0,0,0,0,0,0,43.88421257,0,0,0,0,0,0,0,20.23,0,0,0,6.606881965,0,11.02778726,0,0,0,21.14301595,5.106527395,0,0,0,0,0,0,0,0,0.84375,15.65625,1,7,1,2,0,0,0,0,0,0,1,1,2,2,0,0,0,0,-0.3151,29.9852
Acetylcarnitine,Acylcarnitine,0.36,-1.203981481,10.67899282,0.254861111,0.414060329,203.238,186.102,203.115758,82,0,0.302629998,-0.550018459,0.550018459,0.302629998,1.357142857,1.857142857,2.142857143,4.244430537,203.3420689,11.35337115,9.071770589,9.071770589,6.20419592,4.380117365,4.380117365,4.280472105,4.280472105,1.478325488,1.478325488,1.174989881,1.174989881,-1.1,466.8081378,12.9,4.950243339,7.544022315,83.85941628,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,0,0,19.31386411,21.14301595,23.91549557,11.93861058,0,0,0,19.44852521,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,13.34455882,0,0,0,0,66.43,18.04257696,14.69560176,0,6.420821623,11.02778726,0,6.9237372,0,21.14301595,0,4.736862954,0,0,0,0,0,0,0,0,0.532962963,41.1337037,0.777777778,14,0,5,0,0,0,0,0,0,4,0,5,5,0,0,0,0,-1.2357,48.0774
Carnitine,Amino acid derivative,0.36,-1.202824074,10.01751134,0.282222222,0.494486133,161.201,146.081,161.1051933,66,0,0.108045732,-0.550063811,0.550063811,0.108045732,1.545454545,2,2.272727273,3.694259125,139.1113374,9.068914101,7.202487603,7.202487603,4.81034907,3.494365704,3.494365704,3.70285439,3.70285439,1.160762987,1.160762987,0.889183761,0.889183761,-0.61,108.9512301,10.39,3.686619873,7.285016628,66.64869848,19.49062283,12.64872279,0,0,0,0,0,0,0,0,0,0,12.39012691,21.14301595,19.49062283,5.969305288,0,0,0,12.52478801,27.68777235,0,0,0,5.106527395,0,0,0,49.35060228,4.794537184,0,6.420821623,0,0,0,0,60.36,12.07327168,9.901064579,0,6.420821623,11.02778726,0,0,0,21.14301595,0,5.106527395,0,0,0,0,0,0,0,0,0.550046296,32.9499537,0.857142857,11,1,4,0,0,0,0,0,0,3,1,4,4,0,0,0,0,-1.8065,38.5302
Propionylcarnitine,Acylcarnitine,0.36,-1.196895314,11.04704837,0.24875,0.429362174,217.265,198.113,217.1314081,88,0,0.30550351,-0.550018459,0.550018459,0.30550351,1.333333333,1.866666667,2.2,4.308866622,232.0671125,12.06047793,9.77887737,9.77887737,6.742200722,4.940777537,4.940777537,4.51445234,4.51445234,1.732482826,1.732482826,1.209507678,1.209507678,-1.1,908.262038,13.9,5.701348273,7.932555251,90.2243584,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,6.9237372,0,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,25.86934683,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,19.76538045,0,0,0,0,66.43,12.07327168,14.69560176,0,18.81094853,11.02778726,0,0,6.9237372,21.14301595,0,4.736862954,0,0,0,0,0,0,0,0,0.53664777,42.6300189,0.8,15,0,5,0,0,0,0,0,0,4,0,5,6,0,0,0,0,-0.8456,52.6944
Acylcarnitine (8:1) - Octenoylcarnitine,Acylcarnitine,0.44,-1.20539316,11.62418139,0.272882231,0.258575398,285.384,258.168,285.1940083,116,0,0.330422676,-0.550018458,0.550018458,0.330422676,1.25,1.9,2.4,4.272640545,331.2554398,15.59601184,13.05489825,13.05489825,9.242200722,7.117480905,7.117480905,6.006076918,6.006076918,2.656793836,2.656793836,1.835579045,1.835579045,-1.36,11185.41132,18.64,9.529110864,11.71480337,121.3594659,19.12095839,6.544756406,6.103966388,0,0,5.969305288,0,4.794537184,0,0,25.84140055,12.84164325,18.46614702,21.14301595,23.91549557,11.93861058,0,0,0,45.1318117,27.68777235,12.15204021,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,39.02784531,12.15204021,0,0,0,66.43,18.04257696,14.69560176,0,6.420821623,11.02778726,25.68328649,6.076020107,6.076020107,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.519286659,51.14738001,0.733333333,20,0,5,0,0,0,0,0,0,4,0,5,10,0,0,0,0,0.8809,75.6854
O-octanoylcarnitine,Acylcarnitine,0.47,-1.18130019,11.71098695,0.238993343,0.324187198,287.4,258.168,287.2096584,118,0,0.305784613,-0.550018459,0.550018459,0.305784613,1.1,1.7,2.2,4.082022666,296.7388637,15.59601184,13.31441128,13.31441128,9.242200722,7.440777537,7.440777537,6.325112512,6.325112512,2.928261922,2.928261922,2.057990868,2.057990868,-1.1,11185.41132,18.9,9.748896856,11.96072058,122.049069,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,32.60702369,6.420821623,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,57.97345495,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,51.86948856,0,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,19.26246487,12.84164325,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.54337963,50.12328704,0.866666667,20,0,5,0,0,0,0,0,0,4,0,5,11,0,0,0,0,1.1049,75.7794
Acylcarnitine (10:0-OH) - Hydroxydecanoylcarnitine,Acylcarnitine,0.5,-1.160543562,11.93513837,0.046032533,0.237137864,331.453,298.189,331.2358732,136,0,0.312408172,-0.550164842,0.550164842,0.312408172,1.086956522,1.695652174,2.217391304,4.171163279,351.3831144,17.88046889,15.04608192,15.04608192,10.66292103,8.549195841,8.549195841,7.032267113,7.032267113,3.770038881,3.770038881,2.323471773,2.323471773,-1.14,48793.57884,21.86,11.40409367,12.00591964,139.5731869,19.74445493,0,0,6.227901171,0,5.969305288,9.277568042,0,0,0,39.02784531,12.84164325,12.39012691,33.66780396,29.02202297,11.93861058,0,0,0,77.04299936,21.14301595,0,0,0,5.106527395,0,0,0,55.00305233,14.32593732,0,64.71113181,0,0,0,0,86.66,24.27047813,19.80212916,0,19.26246487,10.90385248,19.26246487,12.84164325,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.311639871,59.18836013,0.882352941,23,1,6,0,0,0,0,0,0,5,1,6,13,0,0,0,0,1.2035,86.1532
Acylcarnitine (10:1) - Decenoylcarnitine,Acylcarnitine,0.55,-1.186603075,11.80021764,0.247209073,0.224415295,313.438,282.19,313.2253085,128,0,0.305784613,-0.550018459,0.550018459,0.305784613,1.136363636,1.727272727,2.272727273,3.96478579,347.0583255,17.0102254,14.30597511,14.30597511,10.24220072,8.050167337,8.050167337,6.756016172,6.756016172,3.232956822,3.232956822,2.273442698,2.273442698,-1.36,30522.50221,20.64,11.23962683,13.61518929,134.0893502,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,6.578935684,25.33848498,19.26246487,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,57.47053937,27.68777235,12.65495579,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,51.36657298,12.65495579,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,38.52492974,0,0,27.21903605,6.578935684,4.736862954,0,0,0,0,0,0,0,0,0.536240211,54.63042646,0.764705882,22,0,5,0,0,0,0,0,0,4,0,5,13,0,0,0,0,1.6611,84.9194
LPC(9:0/0:0),Lysophospholipid,0.57,-4.471567838,11.56590476,0.006334328,0.183350369,397.449,361.161,397.2229391,156,0,0.305374104,-0.756117796,0.756117796,0.305374104,1.076923077,1.692307692,2.307692308,3.782101593,425.824678,20.05419547,16.64665539,17.54108258,12.05546065,9.297794633,10.75838812,7.444737341,8.855562311,3.607706605,4.571807522,2.00017094,2.734613103,-0.5,195069.0903,25.5,13.63580247,16.94108224,157.188366,28.26732713,25.86248672,0,0,7.822697123,5.969305288,9.359585469,0,0,0,39.02784531,6.420821623,6.420821623,27.74989791,37.6269126,13.79200241,0,0,0,57.97345495,47.50841825,0,0,0,4.893411603,0,0,7.822697123,69.17124818,23.14394275,0,51.86948856,0,0,0,0,105.12,26.50285076,19.35952447,0,13.21376393,17.44860889,19.26246487,19.26246487,0,21.14301595,11.44748436,9.260610116,0,0,0,0,0,0,0,0,21.44070487,45.86485068,0.941176471,26,1,8,0,0,0,0,0,0,7,1,9,16,0,0,0,0,1.8489,97.3687
Acylcarnitine (10:0) - Decanoylcarnitine,Acylcarnitine,0.62,-1.178542455,11.8134821,0.237819691,0.295617455,315.454,282.19,315.2409585,130,0,0.305784613,-0.550018459,0.550018459,0.305784613,1,1.545454545,2.045454545,3.94332731,323.1108523,17.0102254,14.72862484,14.72862484,10.24220072,8.440777537,8.440777537,7.032219293,7.032219293,3.428261922,3.428261922,2.411544259,2.411544259,-1.1,30522.50221,20.9,11.46510379,13.86357684,134.7789532,19.12095839,6.544756406,6.103966388,0,0,5.969305288,4.794537184,0,0,0,45.44866694,6.420821623,18.81094853,21.14301595,23.91549557,11.93861058,0,0,0,70.81509819,27.68777235,0,0,0,5.106527395,0,0,0,50.21338018,14.32593732,0,64.71113181,0,0,0,0,66.43,12.07327168,14.69560176,0,12.39012691,17.44860889,19.26246487,25.68328649,0,21.14301595,6.9237372,4.736862954,0,0,0,0,0,0,0,0,0.544300831,53.12236584,0.882352941,22,0,5,0,0,0,0,0,0,4,0,5,13,0,0,0,0,1.8851,85.0134
