ANALYTE,category,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_quatN,fr_unbrch_alkane
24S-hydroxy-cholesterol,Sterol Lipids [ST],10.30199354,-0.137317636,10.30199354,0.099414938,0.525292103,402.663,356.295,402.3497807,166,0.057740057,-0.392863829,0.392863829,0.057740057,1,1.75862069,2.482758621,1.485083656,624.0273365,20.97432702,19.66164743,19.66164743,13.6643749,12.72137724,12.72137724,12.25033111,12.25033111,10.52546241,10.52546241,8.585155572,8.585155572,-0.34,3333497.165,21.87553668,7.971848479,3.647692445,179.1032859,10.21305479,0,0,0,0,0,0,0,0,0,46.26781064,110.5456334,0,12.20793278,10.21305479,0,0,46.33741722,111.034835,0,11.64912464,0,0,0,0,22.42098757,0,46.33741722,98.82690223,11.64912464,0,40.46,0,10.21305479,12.20793278,16.74788698,48.8519951,44.94575136,5.57310453,0,40.69470611,0,0,0,20.51267523,2.444492992,4.512082359,0,14.44914666,11.91493609,0,0.925925926,29,2,2,4,0,4,0,0,0,2,2,2,5,3,0,3,4,6.3595,120.4426,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
25-hydroxy-cholesterol,Sterol Lipids [ST],10.21020172,-0.518799364,10.21020172,0.096907178,0.515008505,402.663,356.295,402.3497807,166,0.059132468,-0.392796685,0.392796685,0.059132468,1.103448276,1.862068966,2.586206897,1.47142639,630.9392798,21.02673326,19.71405367,19.71405367,13.54429586,12.64405638,12.64405638,12.56627905,12.56627905,10.28618696,10.28618696,8.674817563,8.674817563,-0.34,2748307.404,21.87553668,7.660235034,3.863295086,179.1032859,10.21305479,0,0,0,0,0,0,0,0,0,45.26197948,112.0543802,0,11.7050172,10.21305479,0,0,40.41951117,116.952741,0,11.64912464,0,0,0,0,21.91807199,0,40.41951117,105.2477239,11.64912464,0,40.46,5.601050811,10.21305479,6.103966388,10.82998094,55.27281672,44.94575136,5.57310453,13.8474744,26.84723171,0,0,0,20.28776336,1.95442969,4.2441841,0,15.86015764,11.57013188,0,0.925925926,29,2,2,4,0,4,0,0,0,2,2,2,5,3,0,3,4,6.5036,120.5126,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
25-hydroxy-cholesterol,Sterol Lipids [ST],10.21020172,-0.518799364,10.21020172,0.096907178,0.515008505,402.663,356.295,402.3497807,166,0.059132468,-0.392796685,0.392796685,0.059132468,1.103448276,1.862068966,2.586206897,1.47142639,630.9392798,21.02673326,19.71405367,19.71405367,13.54429586,12.64405638,12.64405638,12.56627905,12.56627905,10.28618696,10.28618696,8.674817563,8.674817563,-0.34,2748307.404,21.87553668,7.660235034,3.863295086,179.1032859,10.21305479,0,0,0,0,0,0,0,0,0,45.26197948,112.0543802,0,11.7050172,10.21305479,0,0,40.41951117,116.952741,0,11.64912464,0,0,0,0,21.91807199,0,40.41951117,105.2477239,11.64912464,0,40.46,5.601050811,10.21305479,6.103966388,10.82998094,55.27281672,44.94575136,5.57310453,13.8474744,26.84723171,0,0,0,20.28776336,1.95442969,4.2441841,0,15.86015764,11.57013188,0,0.925925926,29,2,2,4,0,4,0,0,0,2,2,2,5,3,0,3,4,6.5036,120.5126,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
27-hydroxy-cholesterol,Sterol Lipids [ST],10.21178447,-0.092598552,10.21178447,0.092598552,0.507381757,402.663,356.295,402.3497807,166,0.057740057,-0.396099011,0.396099011,0.057740057,1.034482759,1.827586207,2.586206897,1.457527975,611.6590545,20.81119031,19.49851072,19.49851072,13.7916961,12.77697081,12.77697081,12.08026583,12.08026583,10.50620392,10.50620392,8.697745094,8.697745094,-0.34,3803403.776,21.87553668,8.302870356,3.753172622,179.1032859,10.21305479,0,0,0,0,0,0,0,0,0,52.18571668,104.1248118,6.606881965,6.103966388,10.21305479,0,0,46.33741722,104.427953,6.606881965,11.64912464,0,0,0,0,22.92390314,0,46.33741722,98.32398665,11.64912464,0,40.46,0,10.21305479,6.103966388,23.35476895,42.43117348,57.78739461,5.57310453,0,33.77096891,0,0,0,19.52796744,2.508492826,4.817363729,0,16.40668716,10.23948884,0,0.925925926,29,2,2,4,0,4,0,0,0,2,2,2,6,3,0,3,4,6.3611,120.4646,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
4beta-hydroxy-cholesterol,Sterol Lipids [ST],10.68440238,-0.624707201,10.68440238,0.114940861,0.525292103,402.663,356.295,402.3497807,166,0.101393327,-0.390077924,0.390077924,0.101393327,0.965517241,1.724137931,2.448275862,1.510841635,624.0273365,20.97432702,19.66164743,19.66164743,13.68121166,12.7482507,12.7482507,12.27070747,12.27070747,10.36860005,10.36860005,8.743261271,8.743261271,-0.34,3293171.532,21.87553668,7.971848479,3.546597244,179.1032859,10.21305479,6.103966388,0,0,0,0,0,0,0,0,59.95717097,96.85627311,0,6.103966388,10.21305479,0,0,46.33741722,111.034835,0,11.64912464,0,0,0,0,22.42098757,0,46.33741722,98.82690223,11.64912464,0,40.46,12.20793278,10.21305479,5.414990469,11.33289652,48.8519951,50.51885589,0,0,40.69470611,0,0,0,20.91275225,1.814118166,4.945017721,0,13.85521063,12.30623456,0,0.925925926,29,2,2,4,0,4,0,0,0,2,2,2,5,3,0,3,4,6.3595,120.4426,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7alpha-hydroxy-cholesterol,Sterol Lipids [ST],11.27484371,-0.298150829,11.27484371,0.19955457,0.525292103,402.663,356.295,402.3497807,166,0.075722369,-0.392796671,0.392796671,0.075722369,0.965517241,1.724137931,2.448275862,1.535463609,624.0273365,20.97432702,19.66164743,19.66164743,13.6643749,12.738214,12.738214,12.31729518,12.31729518,10.30454492,10.30454492,8.654171813,8.654171813,-0.34,3136834.677,21.87553668,7.971848479,3.647692445,179.1032859,10.21305479,0,0,0,0,0,0,0,0,0,65.5302755,91.28316858,0,12.20793278,10.21305479,0,0,46.33741722,111.034835,0,11.64912464,0,0,0,0,22.42098757,0,46.33741722,98.82690223,11.64912464,0,40.46,0,10.21305479,17.62292324,23.16870861,37.01618301,50.51885589,0,0,40.69470611,0,0,0,21.48930469,1.99162537,4.183660132,0,13.9216889,12.24705424,0,0.925925926,29,2,2,4,0,4,0,0,0,2,2,2,5,3,0,3,4,6.3595,120.4426,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7-Dehydrocholesterol,Sterol Lipids [ST],10.18913974,-0.105850866,10.18913974,0.105850866,0.52662758,384.648,340.296,384.339216,158,0.057751879,-0.39279648,0.39279648,0.057751879,0.964285714,1.75,2.5,1.5279295,642.6477265,20.10408353,19.13708356,19.13708356,13.2536913,12.34604051,12.34604051,11.80820466,11.80820466,9.745768735,9.745768735,8.007802551,8.007802551,-0.56,2160246.041,20.7022578,7.603373136,3.341060861,173.6194491,5.106527395,0,0,0,0,0,0,0,0,0,77.17940014,85.36526253,0,6.103966388,5.106527395,0,0,40.41951117,104.9308686,0,23.29824927,0,0,0,0,11.21049378,0,40.41951117,98.82690223,23.29824927,0,20.23,0,5.106527395,6.103966388,10.82998094,42.43117348,51.36657298,11.14620906,0,46.77072621,0,0,0,10.18913974,4.189468157,4.189733006,0,17.81321106,12.45178137,0,0.851851852,28,1,1,4,0,4,0,0,0,1,1,1,5,3,0,3,4,7.3088,119.0288,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7-oxo-cholesterol,Sterol Lipids [ST],13.38265057,-0.240665681,13.38265057,0.152880676,0.566607931,400.647,356.295,400.3341306,164,0.158843269,-0.392796465,0.392796465,0.158843269,1.034482759,1.793103448,2.517241379,1.543886573,663.4489479,20.97432702,19.54533185,19.54533185,13.6643749,12.59482286,12.59482286,12.15517568,12.15517568,10.12102092,10.12102092,8.40711884,8.40711884,-0.63,3136834.677,21.59632693,7.808521359,3.557464949,178.4705742,5.106527395,0,5.783244946,0,0,0,4.794537184,0,0,0,59.4542554,91.44128264,5.917906046,6.103966388,9.901064579,5.783244946,0,46.33741722,104.9308686,0,11.64912464,0,0,0,0,16.99373873,4.794537184,46.33741722,98.82690223,11.64912464,0,37.3,0,9.901064579,17.4368629,23.03404751,37.01618301,50.51885589,0,6.076020107,34.618686,0,0,13.38265057,10.18479356,1.770421666,4.111108654,0,13.59468645,12.12300577,0,0.888888889,29,1,2,4,0,4,0,0,0,2,1,2,5,3,0,3,4,6.5677,119.4428,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
Campesterol,Sterol Lipids [ST],10.22845947,-0.079006774,10.22845947,0.079006774,0.470129299,400.691,352.307,400.3705162,166,0.057740057,-0.392796685,0.392796685,0.057740057,0.965517241,1.724137931,2.448275862,1.485083656,619.8033613,20.97432702,20.21443383,20.21443383,13.6643749,13.04052862,13.04052862,12.66026735,12.66026735,11.05356237,11.05356237,8.677286639,8.677286639,-0.3,3333497.165,21.91406323,7.994467003,3.660219986,180.6739942,5.106527395,0,0,0,0,0,0,0,0,0,66.03319108,103.6218962,0,6.103966388,5.106527395,0,0,52.25532326,111.8546058,0,11.64912464,0,0,0,0,11.21049378,0,52.25532326,105.7506394,11.64912464,0,20.23,0,5.106527395,6.103966388,10.82998094,54.26698557,51.36657298,5.57310453,0,47.6184433,0,0,0,10.22845947,2.586961274,6.242202994,0,15.70550518,15.07020442,0,0.928571429,29,1,1,4,0,4,0,0,0,1,1,1,5,3,0,3,4,7.6347,123.5998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Cholestenone,Sterol Lipids [ST],12.0236852,0.33246401,12.0236852,0.33246401,0.476746,384.648,340.296,384.339216,158,0.15519729,-0.294865963,0.294865963,0.15519729,0.964285714,1.75,2.5,1.492176613,630.1735437,20.10408353,19.22787477,19.22787477,13.2536913,12.49325393,12.49325393,11.99924313,11.99924313,10.16319256,10.16319256,8.583856813,8.583856813,-0.59,2160246.041,20.67345189,7.586436389,3.331897016,173.6763405,0,0,5.783244946,0,0,0,4.794537184,0,0,0,59.4542554,97.35918868,6.420821623,0,4.794537184,5.783244946,0,46.33741722,105.2477239,0,11.64912464,0,0,0,0,5.783244946,4.794537184,46.33741722,105.2477239,11.64912464,0,17.07,0,4.794537184,0,16.61322589,48.34907952,63.36049914,0,0,40.69470611,0,0,12.0236852,0,2.434978387,5.787826676,0,16.58397034,12.50287273,0,0.888888889,28,0,1,4,0,4,0,0,0,1,0,1,5,3,0,3,4,7.5969,118.053,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
