metabolite,metabolite class,Time,predict_value0,predict_value1,predict_value2,predict_value3,predict_value4,predict_value5,predict_value6,predict_value7,predict_value8,predict_value9,mean,std,error
Choline,Amino acid derivative,21,34.269,35.856,36.273,35.7975,30.582,31.074,39.258,37.257,35.256,32.319,34.79415,2.759025593,13.79415
Acetylcarnitine,Fatty Acyls [FA],21.6,24.351,23.628,23.91,24.033,23.901,24.057,23.898,23.949,23.733,23.694,23.9154,0.208215273,2.3154
Carnitine,Amino acid derivative,21.6,24.156,24.27,26.073,26.058,23.835,25.5795,24.51,24.642,28.107,25.458,25.26885,1.278786231,3.66885
Propionylcarnitine,Fatty Acyls [FA],21.6,24.156,24.447,24.486,23.712,24.399,23.799,24.609,24.099,24.642,23.982,24.2331,0.332114589,2.6331
Acylcarnitine (8:1) - Octenoylcarnitine,Fatty Acyls [FA],26.4,30.339,31.014,30.198,29.919,30.786,30.54,30.534,31.08,29.814,31.077,30.5301,0.463596915,4.1301
O-octanoylcarnitine,Fatty Acyls [FA],28.2,30.762,30.744,31.83,30.396,31.314,30.504,30.474,30.288,31.029,31.131,30.8472,0.481738933,2.6472
Acylcarnitine (10:0-OH) - Hydroxydecanoylcarnitine,Fatty Acyls [FA],30,35.421,36.573,37.194,36.081,36.999,36.576,35.634,37.65,37.986,36.486,36.66,0.82370383,6.66
Acylcarnitine (10:1) - Decenoylcarnitine,Fatty Acyls [FA],33,36.486,36.189,34.7205,36.255,34.497,36.534,33.954,36.669,35.007,37.512,35.78235,1.15231082,2.78235
LPC(9:0/0:0),Glycerophospholipids [GP],34.2,52.6965,55.9185,52.3005,57.3555,52.7505,57.501,53.685,55.899,49.4655,56.496,54.4068,2.628644689,20.2068
Acylcarnitine (10:0) - Decanoylcarnitine,Fatty Acyls [FA],37.2,40.176,39.153,41.829,42.504,40.866,40.86,39.075,39.375,41.508,39.681,40.5027,1.199453584,3.3027
Piperine,Xenobiotic,39,51.951,49.908,47.397,55.161,52.5435,54.855,47.757,52.584,50.061,51.723,51.39405,2.63551836,12.39405
Acylcarnitine (12:0-OH) - Hydroxydodecanoylcarnitine,Fatty Acyls [FA],41.4,50.256,50.892,49.272,49.17,49.284,52.521,50.517,50.886,51.477,49.911,50.4186,1.076912067,9.0186
Acylcarnitine (18:1-DC),Fatty Acyls [FA],43.2,81.291,77.403,78.471,77.352,78.219,78.297,80.7135,76.587,74.01,80.97,78.33135,2.23526603,35.13135
Acylcarnitine (18:0-DC),Fatty Acyls [FA],51.6,120.7935,117.564,113.697,112.329,113.334,116.52,115.758,119.178,116.481,121.7775,116.7432,3.159243881,65.1432
